case_id,incident_text,notes,age,prior_contacts,has_missing_history,location_risk_score,household_instability_score,gender,race_ethnicity,housing_status,employment_status,school_enrollment_status,is_victim
A-1001,General welfare check with routine family support needs,Follow up completed by partner team,13,0,1,0.06,0.04,female,asian,stable,student,enrolled,0
A-1002,Noise complaint and neighborhood dispute resolved on scene,No immediate safety concern documented,14,0,0,0.101,0.075,male,black,family_home,employed,not_enrolled,0
A-1003,Curfew contact with guardian notified and stable residence confirmed,School attendance verified during outreach,15,1,0,0.142,0.11,nonbinary,hispanic,temporary,unemployed,unknown,0
A-1004,Transportation assistance request after missed bus connection,Individual declined additional services,16,1,0,0.183,0.145,female,white,unstable,unknown,enrolled,0
A-1005,Retail trespass warning with routine citation issued,Case retained for standard monitoring,17,2,0,0.224,0.18,male,multiracial,stable,student,not_enrolled,0
A-1006,Community outreach contact for basic resource referral,Food and shelter resource list provided,18,0,0,0.235,0.215,nonbinary,asian,family_home,employed,unknown,0
A-1007,Youth family disagreement at residence resolved with mediator support,No unresolved absence pattern noted,22,3,0,0.276,0.25,female,black,temporary,unemployed,enrolled,0
A-1008,Wellness visit requested by family member after brief absence,Returned home voluntarily and guardian present,27,1,0,0.317,0.25,male,hispanic,unstable,unknown,not_enrolled,0
A-1009,Public disturbance call with routine service referral,No elevated safety pattern documented,34,2,0,0.358,0.285,nonbinary,white,stable,student,unknown,0
A-1010,Service referral intake for employment and housing support,Follow up appointment scheduled,41,0,0,0.399,0.32,female,multiracial,family_home,employed,enrolled,0
A-1011,School counselor requested resource navigation support,Guardian participated in service planning,52,1,0,0.41,0.355,male,asian,temporary,unemployed,not_enrolled,0
A-1012,Shelter intake for short term housing support,Stable contact information provided,13,2,0,0.451,0.39,nonbinary,black,unstable,unknown,unknown,0
A-1013,Transit station outreach contact for meal assistance,No follow up safety escalation requested,14,0,0,0.072,0.065,female,hispanic,stable,student,enrolled,0
A-1014,Family requested mental health referral after argument,Appointment scheduled with community provider,15,0,0,0.113,0.1,male,white,family_home,employed,not_enrolled,0
A-1015,Patrol contact during park closure after hours,Released to guardian after verification,16,1,0,0.154,0.1,nonbinary,multiracial,temporary,unemployed,unknown,0
A-1016,Hospital social work referral for routine discharge planning,Transportation voucher issued,17,1,0,0.165,0.135,female,asian,unstable,unknown,enrolled,0
A-1017,Community center incident involving peer conflict,Mediation referral accepted,18,2,0,0.206,0.17,male,black,stable,student,not_enrolled,0
